,cep,A,B,C,D,E
613,5792050,0,0,0,0,14
614,89208520,0,0,0,0,2
615,9608100,0,0,0,0,8
616,29970000,0,0,0,0,89
617,68618000,0,0,0,0,170
618,4719917,0,0,0,0,24
619,14740000,0,0,0,0,126
620,74900000,0,0,0,0,10
621,11075420,0,0,0,0,10
622,95112400,0,0,0,0,4
623,39600000,0,0,0,0,55
624,13650000,0,0,0,82,55
625,78450000,0,0,0,0,103
626,96025364,0,0,0,0,3
627,16491857,0,0,0,0,3
628,93546220,0,0,0,0,7
629,18710000,0,0,0,0,25
630,8090650,0,0,0,0,3
631,10275818,0,0,0,0,2
632,17713687,0,0,0,0,2
633,4242160,0,0,0,0,3
634,1000000,0,0,0,18,3
635,41218034,0,0,0,0,2
636,63870000,0,0,0,0,898
637,22713321,0,0,0,0,7
638,22763153,0,0,0,0,6
639,1329000,0,0,0,0,3
640,18030215,0,0,0,0,2
641,68300000,0,0,0,0,128
642,55825000,0,0,0,0,258
643,68375343,0,0,0,0,6
644,31950430,0,0,0,0,3
645,63220000,0,0,0,0,187
646,75400000,0,0,0,0,218
647,62265000,0,0,0,0,435
648,78820000,0,0,0,0,153
649,25550270,0,0,0,0,3
650,67182128,0,0,0,0,2
651,46875000,0,0,0,0,171
652,4942040,0,0,0,0,11
653,66080680,0,0,0,0,3
654,17601050,0,0,0,0,2
655,3647020,0,0,0,0,7
656,46990000,0,0,0,0,129
657,39960000,0,0,0,0,58
658,65940000,0,0,0,0,439
659,58475000,0,0,0,0,218
660,35498000,0,0,0,0,17
661,7745040,0,0,0,0,6
662,16492682,0,0,0,0,2
663,55950000,0,0,0,0,80
664,44840000,0,0,0,0,102
665,13506690,0,0,0,2,102
666,18274120,0,0,0,0,2
667,63033020,0,0,0,0,5
668,20771450,0,0,0,0,4
669,2739000,0,0,0,0,13
670,18940000,0,0,0,0,61
671,67030585,0,0,0,0,5
672,64390000,0,0,0,0,90
673,14750000,0,0,0,0,205
674,16252907,0,0,0,0,2
675,36460000,0,0,0,0,120
676,27943300,0,0,0,0,3
677,68710000,0,0,0,0,150
678,17440000,0,0,0,2,150
679,6330160,0,0,0,2,150
680,13212555,0,0,0,0,4
681,6816340,0,0,0,0,7
682,98807350,0,0,0,0,3
683,39573000,0,0,0,0,55
684,62430000,0,0,0,0,657
685,58125000,0,0,0,0,162
686,66072435,0,0,0,3,162
687,55500000,0,0,0,0,518
688,44569719,0,0,0,0,2
689,89204060,0,0,0,0,8
690,46350000,0,0,0,0,126
691,22770080,0,0,0,0,8
692,9791160,0,0,0,0,7
693,39790000,0,0,0,0,56
694,11715462,0,0,0,0,3
695,36940000,0,0,0,0,85
696,17780000,0,0,0,0,22
697,95020412,0,0,0,0,7
698,58356000,0,0,0,0,83
699,38755000,0,0,0,0,65
700,1301909,0,0,0,0,20
701,21250200,0,0,0,0,5
702,6160335,0,0,0,0,5
703,68640000,0,0,0,0,91
704,37510000,0,0,0,0,54
705,11470080,0,0,0,0,4
706,78675000,0,0,0,0,78
707,1137000,0,0,0,0,2
